Index,TimeTag,Alias,ARINC429
1784,0d:5h:09m:17.937 549s,Body Normal Acceleration,0x80BE00DB
1785,0d:5h:09m:17.940 429s,Altitude (Inertial),0x803C76F1
1786,0d:5h:09m:17.943 309s,Vertical Acceleration,0x00BE00F4
1787,0d:5h:09m:17.946 189s,Inertial Vertical Velocity (EFI),0x1F6360F5
1788,0d:5h:09m:17.949 069s,g,0x81FC00F8
1789,0d:5h:09m:17.985 709s,Magnetic Heading,0x8A06000C
1790,0d:5h:09m:17.988 589s,Set Magnetic Heading,0x825C0023
1791,0d:5h:09m:17.991 469s,Body Pitch Acceleration,0x8000402A
1792,0d:5h:09m:17.994 349s,Body Roll Acceleration,0x0007C02B
1793,0d:5h:09m:17.997 229s,Body Yaw Acceleration,0x8001A02C
1794,0d:5h:09m:18.000 109s,Altitude Rate,0x1F64008A
1795,0d:5h:09m:18.005 869s,Integrated Vertical Acceleration,0x0005D2B5
1796,0d:5h:09m:18.008 749s,Present Position - Latitude,0x1B05FC8
1797,0d:5h:09m:18.011 629s,Present Position - Longitude,0x8ED82FC9
1798,0d:5h:09m:18.014 509s,Ground Speed,0x00BA60CA
1799,0d:5h:09m:18.017 389s,Pitch Angle,0x801980D4
1800,0d:5h:09m:18.020 269s,Roll Angle,0x803B00D5
1801,0d:5h:09m:18.023 149s,Body Pitch Rate,0x1FFF80D6
1802,0d:5h:09m:18.026 029s,Body Roll Rate,0x000100D7
1803,0d:5h:09m:18.028 909s,Body Yaw Rate,0x800000D8
1804,0d:5h:09m:18.031 789s,Body Longitudinal Acceleration,0x823000D9
1805,0d:5h:09m:18.034 669s,Body Lateral Acceleration,0x9FEB00DA
1806,0d:5h:09m:18.037 549s,Body Normal Acceleration,0x841300DB
1807,0d:5h:09m:18.040 429s,Altitude (Inertial),0x003C63F1
1808,0d:5h:09m:18.043 309s,Vertical Acceleration,0x041300F4
1809,0d:5h:09m:18.046 189s,Inertial Vertical Velocity (EFI),0x1F64E0F5
1810,0d:5h:09m:18.049 069s,g,0x81F480F8
1811,0d:5h:09m:18.085 709s,Magnetic Heading,0x8A06000C
1812,0d:5h:09m:18.088 589s,Set Magnetic Heading,0x825C0023
1813,0d:5h:09m:18.091 469s,Body Pitch Acceleration,0x0004402A
1814,0d:5h:09m:18.094 349s,Body Roll Acceleration,0x0003402B
1815,0d:5h:09m:18.097 229s,Body Yaw Acceleration,0x0000A02C
1816,0d:5h:09m:18.100 109s,Altitude Rate,0x9F66008A
1817,0d:5h:09m:18.105 869s,Integrated Vertical Acceleration,0x00127EB5
1818,0d:5h:09m:18.108 749s,Present Position - Latitude,0x1B05FC8
1819,0d:5h:09m:18.111 629s,Present Position - Longitude,0x8ED82FC9
1820,0d:5h:09m:18.114 509s,Ground Speed,0x80BA80CA
1821,0d:5h:09m:18.117 389s,Pitch Angle,0x801BC0D4
1822,0d:5h:09m:18.120 269s,Roll Angle,0x003780D5
1823,0d:5h:09m:18.123 149s,Body Pitch Rate,0x1FFF80D6
1824,0d:5h:09m:18.126 029s,Body Roll Rate,0x000100D7
1825,0d:5h:09m:18.128 909s,Body Yaw Rate,0x800000D8
1826,0d:5h:09m:18.131 789s,Body Longitudinal Acceleration,0x022500D9
1827,0d:5h:09m:18.134 669s,Body Lateral Acceleration,0x000C00DA
1828,0d:5h:09m:18.137 549s,Body Normal Acceleration,0x049F00DB
1829,0d:5h:09m:18.140 429s,Altitude (Inertial),0x803C51F1
1830,0d:5h:09m:18.143 309s,Vertical Acceleration,0x048A00F4
1831,0d:5h:09m:18.146 189s,Inertial Vertical Velocity (EFI),0x9F6640F5
1832,0d:5h:09m:18.149 069s,g,0x81ED00F8
1833,0d:5h:09m:18.185 709s,Magnetic Heading,0x0A06400C
1834,0d:5h:09m:18.188 589s,Set Magnetic Heading,0x825C0023
1835,0d:5h:09m:18.191 469s,Body Pitch Acceleration,0x8003402A
1836,0d:5h:09m:18.194 349s,Body Roll Acceleration,0x0003402B
1837,0d:5h:09m:18.197 229s,Body Yaw Acceleration,0x8000802C
1838,0d:5h:09m:18.200 109s,Altitude Rate,0x9F66008A
1839,0d:5h:09m:18.205 869s,Integrated Vertical Acceleration,0x8011D6B5
1840,0d:5h:09m:18.208 749s,Present Position - Latitude,0x1B05FC8
